Experience,Fees,Place1,Profile_Dentist,Profile_Dermatologists,Profile_ENT Specialist,Profile_General Medicine,Profile_Homeopath
44,50,6,0,0,0,0,0
11,450,5,0,0,0,0,1
11,300,5,0,1,0,0,0
28,250,6,0,0,0,0,1
30,100,2,0,0,0,1,0
16,100,6,0,0,0,0,1
11,200,6,1,0,0,0,0
17,300,5,0,0,1,0,0
15,800,6,0,1,0,0,0
8,100,0,1,0,0,0,0
33,100,6,0,0,0,0,1
30,400,6,0,0,0,1,0
3,700,3,0,0,0,0,1
4,100,7,1,0,0,0,0
27,100,1,0,0,0,1,0
16,600,6,0,0,0,0,1
21,200,0,1,0,0,0,0
37,200,1,0,0,0,0,1
19,100,3,0,0,0,0,1
15,200,6,0,0,0,0,0
6,500,6,0,0,1,0,0
25,200,0,1,0,0,0,0
40,500,5,0,0,0,1,0
25,800,3,0,0,1,0,0
9,400,0,0,1,0,0,0
16,500,5,0,1,0,0,0
46,200,5,1,0,0,0,0
35,600,3,0,0,0,1,0
9,500,6,1,0,0,0,0
30,500,1,0,0,0,1,0
41,100,5,0,0,0,1,0
15,200,0,1,0,0,0,0
11,100,6,0,0,0,0,1
9,500,5,0,0,1,0,0
10,250,1,0,0,0,0,0
18,200,3,0,0,0,0,1
8,60,6,0,0,0,0,1
38,500,3,0,0,1,0,0
33,100,6,0,0,0,1,0
9,600,0,0,1,0,0,0
27,200,1,0,0,0,1,0
9,300,5,1,0,0,0,0
7,350,6,0,0,0,0,1
32,100,6,0,0,1,0,0
21,400,0,0,0,0,1,0
28,300,3,0,0,0,0,1
50,300,1,0,0,1,0,0
44,400,4,0,0,0,1,0
5,600,6,0,0,1,0,0
4,300,3,0,0,0,1,0
5,300,1,0,0,1,0,0
21,500,5,0,1,0,0,0
9,200,2,1,0,0,0,0
29,500,5,0,0,0,1,0
10,200,1,0,1,0,0,0
14,200,1,1,0,0,0,0
6,300,0,0,0,0,0,1
18,550,0,1,0,0,0,0
17,550,5,0,0,1,0,0
18,500,6,0,0,0,0,1
15,200,1,1,0,0,0,0
6,900,3,0,1,0,0,0
22,500,0,0,1,0,0,0
12,100,6,0,0,0,0,1
7,700,1,0,1,0,0,0
27,150,6,0,0,0,0,1
19,200,1,1,0,0,0,0
24,700,6,0,0,1,0,0
10,300,5,0,0,1,0,0
46,150,1,0,0,0,1,0
17,150,0,0,0,0,1,0
45,400,0,0,0,0,1,0
3,300,0,0,0,0,0,1
30,150,1,0,0,0,0,0
28,500,5,0,1,0,0,0
35,100,0,0,0,0,1,0
8,200,1,1,0,0,0,0
19,500,0,1,0,0,0,0
18,200,1,0,0,1,0,0
29,950,1,0,0,0,1,0
5,500,6,0,0,0,0,0
19,750,3,0,1,0,0,0
15,200,1,1,0,0,0,0
9,100,6,1,0,0,0,0
9,200,4,0,1,0,0,0
8,250,3,0,0,0,0,1
24,500,1,0,1,0,0,0
17,300,3,0,0,0,0,0
6,100,0,0,0,0,0,0
11,100,6,0,0,0,0,0
35,300,1,0,0,0,1,0
28,300,3,0,0,0,0,0
31,300,3,0,0,0,1,0
9,350,5,1,0,0,0,0
23,200,4,0,0,0,0,1
22,600,1,0,0,1,0,0
11,200,0,1,0,0,0,0
22,400,5,0,0,0,1,0
25,100,7,0,0,0,0,0
16,450,6,0,0,0,0,1
8,400,5,0,0,0,0,0
4,600,5,0,0,1,0,0
5,100,2,1,0,0,0,0
10,200,7,0,0,0,0,1
23,200,3,0,0,0,1,0
43,100,1,0,0,1,0,0
8,150,1,0,0,0,0,1
37,700,5,0,0,0,1,0
14,150,2,0,1,0,0,0
9,200,1,1,0,0,0,0
14,600,6,0,0,0,0,0
54,200,6,0,0,0,1,0
14,500,5,0,0,0,0,1
45,300,3,0,0,0,1,0
18,200,6,1,0,0,0,0
6,400,0,0,0,1,0,0
25,800,6,0,1,0,0,0
28,400,3,0,0,0,1,0
17,300,0,0,0,1,0,0
12,400,5,0,1,0,0,0
7,200,0,0,0,0,0,1
12,250,1,0,1,0,0,0
21,350,6,0,0,0,1,0
17,300,1,0,0,1,0,0
9,600,3,1,0,0,0,0
6,300,0,0,0,0,0,1
5,200,3,1,0,0,0,0
5,400,0,0,0,1,0,0
36,400,3,0,0,0,0,0
22,350,0,0,0,0,0,1
6,150,4,0,0,0,1,0
21,500,3,0,0,1,0,0
12,600,5,0,1,0,0,0
37,200,6,0,0,0,1,0
35,300,0,0,0,0,0,0
13,350,0,0,1,0,0,0
35,100,6,0,1,0,0,0
11,100,5,1,0,0,0,0
15,300,1,0,1,0,0,0
23,500,6,0,0,0,1,0
17,400,0,0,0,0,1,0
19,500,5,1,0,0,0,0
13,60,3,0,0,0,0,1
28,400,6,0,0,0,0,0
14,100,6,0,0,0,0,0
10,300,0,0,0,0,0,1
5,100,0,1,0,0,0,0
5,100,3,0,1,0,0,0
6,200,5,1,0,0,0,0
6,100,7,1,0,0,0,0
8,300,6,1,0,0,0,0
44,200,0,0,1,0,0,0
28,300,5,0,0,0,0,1
12,300,3,0,1,0,0,0
23,500,3,0,0,1,0,0
27,100,6,0,0,0,1,0
8,400,6,0,1,0,0,0
25,200,0,1,0,0,0,0
66,100,1,0,0,1,0,0
8,100,7,0,0,0,0,0
12,300,3,0,0,0,0,0
37,100,3,0,0,0,0,0
37,100,2,0,0,0,1,0
45,400,1,0,0,1,0,0
22,300,0,0,0,0,0,0
26,100,2,1,0,0,0,0
0,100,6,0,0,1,0,0
11,150,1,0,0,0,0,0
14,500,1,0,0,0,0,1
0,100,1,1,0,0,0,0
23,600,6,0,0,0,0,1
9,100,6,0,1,0,0,0
10,600,5,0,1,0,0,0
6,500,1,1,0,0,0,0
19,100,6,0,0,0,1,0
34,100,6,0,0,0,1,0
9,100,5,0,0,0,1,0
34,100,2,0,0,0,1,0
37,100,6,0,0,0,1,0
17,500,3,0,0,1,0,0
4,200,2,0,1,0,0,0
12,100,5,0,0,0,0,0
15,600,1,0,1,0,0,0
14,400,0,0,0,0,1,0
20,250,5,0,0,0,0,0
35,150,1,1,0,0,0,0
8,500,1,0,0,0,0,0
20,500,3,1,0,0,0,0
8,200,5,1,0,0,0,0
44,500,5,0,0,0,0,1
28,200,5,0,0,0,0,0
39,430,0,0,0,0,1,0
12,600,3,0,1,0,0,0
3,100,0,0,0,0,0,1
19,80,3,0,0,0,0,0
0,100,2,1,0,0,0,0
20,200,5,1,0,0,0,0
44,100,1,0,0,1,0,0
12,500,6,1,0,0,0,0
19,150,1,1,0,0,0,0
9,150,2,0,0,1,0,0
40,100,3,0,1,0,0,0
5,100,1,0,0,0,0,0
5,100,6,0,1,0,0,0
19,700,3,0,0,0,1,0
14,800,6,0,1,0,0,0
25,100,0,0,0,0,1,0
24,50,6,0,0,0,0,1
9,200,3,1,0,0,0,0
9,250,5,0,1,0,0,0
30,100,1,0,0,0,1,0
21,500,3,0,0,0,1,0
14,250,3,0,0,0,0,0
7,100,6,0,0,0,1,0
13,400,3,0,1,0,0,0
26,600,0,0,0,0,1,0
9,200,5,1,0,0,0,0
13,500,1,0,1,0,0,0
17,300,0,0,0,0,1,0
10,600,3,0,1,0,0,0
18,300,0,1,0,0,0,0
10,300,0,1,0,0,0,0
7,300,1,0,0,0,0,0
21,100,6,0,0,0,1,0
10,300,0,0,0,1,0,0
22,350,5,0,1,0,0,0
19,500,5,1,0,0,0,0
45,150,5,0,0,0,1,0
13,200,3,1,0,0,0,0
19,300,5,0,0,0,0,0
5,700,0,0,0,0,0,1
15,350,0,0,0,1,0,0
7,250,5,0,0,0,1,0
12,100,3,0,0,0,0,1
17,300,0,1,0,0,0,0
6,400,0,0,0,0,1,0
13,500,0,0,0,0,1,0
14,400,5,0,0,0,1,0
5,100,6,1,0,0,0,0
21,500,1,0,0,0,1,0
8,100,6,0,0,0,1,0
26,150,0,0,0,0,0,0
37,600,3,0,0,0,1,0
19,500,3,1,0,0,0,0
23,400,3,1,0,0,0,0
33,300,0,0,0,1,0,0
24,100,5,1,0,0,0,0
19,250,0,0,0,1,0,0
37,150,1,0,0,0,1,0
13,500,1,0,0,0,1,0
17,50,6,0,0,0,1,0
15,100,6,0,1,0,0,0
19,250,0,1,0,0,0,0
12,200,1,1,0,0,0,0
8,100,6,1,0,0,0,0
24,300,1,0,0,0,1,0
43,400,1,0,0,0,1,0
19,200,2,0,1,0,0,0
9,500,6,0,1,0,0,0
7,250,3,1,0,0,0,0
3,100,0,0,0,0,0,1
21,300,6,0,0,0,0,0
6,200,0,0,0,0,0,1
13,300,6,1,0,0,0,0
36,100,6,0,1,0,0,0
14,200,5,0,0,0,0,0
34,250,3,0,0,0,1,0
15,350,0,0,0,0,0,0
32,300,0,0,0,1,0,0
10,300,3,0,1,0,0,0
7,200,0,1,0,0,0,0
30,200,3,0,0,0,0,0
6,250,0,0,0,0,0,1
14,500,6,0,0,0,0,1
5,200,5,0,0,0,0,1
8,100,5,0,0,0,0,1
22,400,1,0,0,0,1,0
23,100,4,1,0,0,0,0
40,100,1,0,0,0,1,0
21,100,0,1,0,0,0,0
8,100,3,0,0,0,0,1
3,250,1,1,0,0,0,0
4,300,6,1,0,0,0,0
33,550,3,0,0,1,0,0
8,100,4,0,0,0,0,0
4,100,1,1,0,0,0,0
15,50,6,0,0,0,0,1
25,200,5,0,0,0,1,0
0,100,8,0,1,0,0,0
28,250,2,0,0,1,0,0
26,450,0,0,0,1,0,0
7,400,5,0,0,0,1,0
4,500,5,1,0,0,0,0
4,500,5,0,1,0,0,0
36,100,6,0,1,0,0,0
8,300,3,0,0,0,0,0
36,250,3,1,0,0,0,0
33,100,1,0,0,0,1,0
26,100,6,0,0,0,0,1
6,300,1,0,0,0,0,1
18,400,0,0,0,0,0,0
12,100,6,0,0,0,1,0
6,200,5,1,0,0,0,0
16,500,3,0,0,0,0,1
27,100,5,0,0,0,1,0
9,100,2,1,0,0,0,0
6,500,6,0,0,1,0,0
13,200,1,1,0,0,0,0
23,100,3,0,0,0,0,1
13,100,3,0,0,0,0,1
12,100,0,0,0,1,0,0
18,250,0,0,0,0,1,0
6,400,5,0,1,0,0,0
9,200,5,1,0,0,0,0
27,300,1,0,0,0,1,0
15,600,0,0,0,1,0,0
7,500,3,0,1,0,0,0
8,300,6,1,0,0,0,0
38,500,3,1,0,0,0,0
43,300,3,0,0,0,1,0
16,150,5,0,0,0,1,0
24,250,2,0,0,1,0,0
5,500,6,0,1,0,0,0
37,700,3,0,1,0,0,0
11,100,1,1,0,0,0,0
7,350,5,0,0,1,0,0
6,450,6,0,0,0,0,1
7,100,1,1,0,0,0,0
38,200,5,1,0,0,0,0
22,300,5,0,0,0,0,0
10,400,3,0,1,0,0,0
14,200,5,1,0,0,0,0
32,500,6,0,0,0,0,0
5,150,2,0,1,0,0,0
25,700,0,0,0,1,0,0
11,100,0,0,0,0,0,0
19,100,1,0,0,0,1,0
21,500,1,0,0,0,0,1
10,450,4,1,0,0,0,0
8,500,6,0,0,0,0,0
15,400,0,0,1,0,0,0
21,100,2,1,0,0,0,0
39,350,5,0,0,1,0,0
9,600,5,0,0,0,1,0
33,800,5,0,0,0,1,0
12,200,6,1,0,0,0,0
13,100,3,0,1,0,0,0
39,100,6,0,0,0,1,0
29,300,4,0,0,1,0,0
43,100,6,0,0,0,0,0
8,300,5,0,1,0,0,0
8,100,3,0,0,0,1,0
10,400,5,0,1,0,0,0
11,500,3,0,0,0,0,0
9,500,1,0,1,0,0,0
20,450,1,0,0,0,0,1
11,150,1,0,0,1,0,0
8,300,6,1,0,0,0,0
13,300,0,0,0,0,0,1
26,250,3,0,0,0,0,1
10,600,6,0,1,0,0,0
11,300,3,0,0,0,0,1
16,300,5,1,0,0,0,0
43,200,1,0,0,0,1,0
19,200,6,1,0,0,0,0
30,800,3,0,0,1,0,0
10,600,3,0,0,1,0,0
14,150,2,1,0,0,0,0
21,100,7,1,0,0,0,0
14,300,0,0,0,0,0,1
23,500,6,0,0,0,1,0
22,250,5,0,0,0,1,0
17,100,5,1,0,0,0,0
10,300,1,1,0,0,0,0
37,800,6,0,0,1,0,0
12,400,0,0,0,1,0,0
30,200,3,0,0,0,1,0
26,500,1,0,0,0,1,0
12,100,5,1,0,0,0,0
9,200,0,0,0,0,0,0
16,100,4,1,0,0,0,0
7,500,6,0,1,0,0,0
7,500,5,0,0,0,1,0
15,400,0,0,0,0,1,0
39,100,1,0,0,0,1,0
0,100,8,0,1,0,0,0
7,300,5,0,0,0,0,0
7,400,0,0,1,0,0,0
0,100,3,0,0,0,0,1
4,200,4,1,0,0,0,0
8,300,6,1,0,0,0,0
0,100,8,0,1,0,0,0
30,250,0,0,0,0,1,0
5,250,3,0,0,0,0,0
17,350,5,0,0,0,1,0
23,300,5,1,0,0,0,0
3,100,2,1,0,0,0,0
34,100,5,0,0,0,1,0
24,300,3,0,0,0,0,1
4,200,1,0,0,0,0,0
45,50,0,0,0,1,0,0
24,500,6,1,0,0,0,0
0,700,6,0,1,0,0,0
19,200,5,1,0,0,0,0
15,350,0,0,1,0,0,0
34,200,3,0,0,0,0,1
30,500,3,0,0,0,0,1
20,500,6,0,1,0,0,0
12,500,3,0,0,0,1,0
6,250,5,0,1,0,0,0
12,200,5,1,0,0,0,0
22,200,1,1,0,0,0,0
5,200,1,1,0,0,0,0
10,500,3,0,0,0,0,1
19,500,1,0,0,1,0,0
11,200,5,0,0,0,0,1
11,500,1,1,0,0,0,0
7,300,2,0,0,0,1,0
29,500,6,0,1,0,0,0
22,400,3,1,0,0,0,0
6,250,5,0,0,0,0,0
25,130,1,0,0,0,1,0
9,350,5,1,0,0,0,0
40,100,3,0,0,0,0,0
5,200,3,1,0,0,0,0
12,800,3,0,0,0,1,0
0,100,5,0,0,0,0,0
5,300,5,0,0,1,0,0
21,500,3,1,0,0,0,0
19,200,5,1,0,0,0,0
14,800,3,0,0,0,1,0
35,500,5,0,0,0,0,0
16,200,5,1,0,0,0,0
13,250,0,0,1,0,0,0
27,500,3,0,1,0,0,0
11,500,1,0,0,1,0,0
9,300,0,0,0,0,1,0
9,500,3,0,0,0,0,0
13,750,6,0,0,0,0,1
3,500,3,0,1,0,0,0
12,200,1,0,0,1,0,0
14,250,2,0,1,0,0,0
17,150,2,0,0,1,0,0
36,500,1,0,0,1,0,0
20,700,0,0,0,0,1,0
2,200,5,1,0,0,0,0
15,400,1,0,0,1,0,0
6,300,1,0,1,0,0,0
5,100,6,1,0,0,0,0
46,300,3,0,0,0,0,1
15,500,3,0,0,0,0,0
12,200,1,1,0,0,0,0
4,200,0,0,0,0,0,0
11,350,0,0,1,0,0,0
9,200,6,1,0,0,0,0
31,300,5,0,0,0,0,0
27,800,3,1,0,0,0,0
23,300,5,0,0,0,0,0
39,100,6,0,0,0,1,0
9,100,2,0,0,0,0,1
19,250,3,0,0,0,0,1
35,200,6,0,0,0,0,0
18,300,0,0,0,0,0,0
18,200,0,1,0,0,0,0
27,800,6,1,0,0,0,0
18,100,7,1,0,0,0,0
32,250,1,0,1,0,0,0
10,300,0,0,0,0,0,0
33,500,3,0,0,0,0,1
9,300,0,0,0,0,0,1
32,200,3,0,0,0,1,0
14,350,5,0,0,0,0,0
13,100,2,1,0,0,0,0
12,300,6,0,0,0,0,0
24,500,5,0,0,0,1,0
17,100,6,0,0,0,1,0
19,700,3,0,0,0,1,0
3,300,3,0,0,0,0,1
29,500,3,0,1,0,0,0
5,300,0,0,0,1,0,0
10,100,1,1,0,0,0,0
7,200,1,0,0,0,0,1
15,400,0,0,1,0,0,0
23,700,3,0,1,0,0,0
26,150,7,1,0,0,0,0
7,100,6,0,0,0,0,0
12,200,1,1,0,0,0,0
22,300,6,1,0,0,0,0
2,400,6,0,0,0,0,0
42,200,5,0,0,0,1,0
4,300,6,1,0,0,0,0
11,400,0,0,1,0,0,0
39,450,1,0,0,0,1,0
18,100,6,0,0,0,1,0
20,100,6,0,0,0,0,0
37,400,3,1,0,0,0,0
25,100,3,0,0,0,1,0
24,150,1,0,0,0,1,0
15,250,0,1,0,0,0,0
29,100,6,0,0,0,0,1
16,200,0,1,0,0,0,0
13,200,5,0,0,0,0,0
25,200,5,0,0,0,1,0
14,150,2,1,0,0,0,0
15,200,0,0,0,0,0,0
21,150,5,0,1,0,0,0
7,300,6,1,0,0,0,0
10,100,6,0,1,0,0,0
14,300,5,0,1,0,0,0
8,500,3,0,0,0,0,0
0,100,8,0,1,0,0,0
17,200,1,1,0,0,0,0
30,500,7,0,0,0,1,0
29,750,5,0,0,0,1,0
21,100,1,0,0,0,1,0
29,750,0,0,1,0,0,0
9,300,3,1,0,0,0,0
23,150,0,0,0,1,0,0
6,250,3,1,0,0,0,0
37,750,0,0,1,0,0,0
33,300,0,0,0,1,0,0
16,50,6,0,0,0,0,0
36,200,5,0,0,0,0,0
14,500,6,0,0,0,1,0
5,200,3,1,0,0,0,0
14,300,6,0,0,0,0,0
13,300,3,0,0,0,0,1
11,150,3,0,0,1,0,0
11,400,6,0,0,1,0,0
5,300,5,1,0,0,0,0
14,200,0,1,0,0,0,0
25,400,3,1,0,0,0,0
19,80,1,0,0,0,1,0
20,300,6,1,0,0,0,0
9,500,0,0,1,0,0,0
16,150,2,1,0,0,0,0
23,400,3,0,0,0,0,1
15,200,5,0,0,1,0,0
6,300,6,1,0,0,0,0
39,300,3,0,0,0,1,0
13,200,1,0,0,0,0,1
10,400,3,0,1,0,0,0
24,600,3,0,0,0,1,0
17,200,5,1,0,0,0,0
11,800,3,0,0,0,0,1
5,500,3,0,0,0,0,1
10,100,6,1,0,0,0,0
6,300,5,0,0,0,0,1
42,200,3,1,0,0,0,0
12,500,3,0,1,0,0,0
24,300,0,0,0,0,0,1
19,150,3,1,0,0,0,0
17,300,5,0,0,0,0,0
24,100,5,1,0,0,0,0
10,600,6,0,1,0,0,0
4,200,3,0,0,0,0,1
34,100,6,0,0,0,1,0
9,100,6,0,0,0,0,1
20,800,1,0,0,0,1,0
7,250,0,0,0,0,0,1
22,400,3,0,0,0,1,0
20,200,5,1,0,0,0,0
43,400,1,0,0,1,0,0
10,630,0,0,0,1,0,0
8,150,3,0,0,0,0,1
43,100,3,0,0,1,0,0
42,100,6,0,0,0,0,1
12,250,0,0,0,0,0,0
24,500,3,0,0,0,0,0
19,600,3,0,0,0,1,0
4,499,0,0,0,0,0,1
20,100,6,0,0,0,0,0
21,300,3,0,0,0,0,1
31,500,3,0,0,0,1,0
40,260,6,0,0,0,1,0
39,300,1,0,0,0,1,0
7,300,3,0,0,0,0,1
12,450,1,0,0,0,0,1
11,100,3,1,0,0,0,0
33,500,0,0,0,0,1,0
29,250,0,0,0,0,1,0
6,300,5,0,0,0,0,1
19,100,6,0,0,0,0,1
7,100,5,0,0,0,1,0
12,600,0,0,1,0,0,0
21,150,1,0,0,0,1,0
19,100,0,0,0,0,1,0
22,500,0,0,1,0,0,0
18,300,0,1,0,0,0,0
17,300,5,0,0,1,0,0
18,300,1,0,1,0,0,0
18,500,0,0,0,0,0,1
13,500,3,0,1,0,0,0
9,300,6,1,0,0,0,0
15,300,6,1,0,0,0,0
6,400,6,0,0,0,0,0
31,200,5,0,0,0,1,0
18,200,5,0,0,1,0,0
9,200,5,0,0,0,0,1
7,250,3,0,0,0,0,1
28,400,5,0,0,0,1,0
41,150,0,0,0,0,1,0
27,70,4,0,0,0,1,0
42,500,5,0,0,0,0,0
3,100,0,1,0,0,0,0
12,200,5,1,0,0,0,0
10,700,6,0,1,0,0,0
45,100,6,0,0,0,1,0
16,200,6,0,0,0,1,0
11,150,0,0,0,0,0,0
5,600,0,0,0,0,0,1
4,600,0,0,0,0,0,1
15,200,0,0,0,0,0,0
20,200,3,1,0,0,0,0
20,300,6,1,0,0,0,0
11,400,1,0,0,1,0,0
27,200,4,1,0,0,0,0
18,200,5,1,0,0,0,0
34,300,5,0,1,0,0,0
7,350,5,1,0,0,0,0
28,650,0,0,1,0,0,0
19,150,2,1,0,0,0,0
23,250,1,0,1,0,0,0
23,750,5,0,0,0,1,0
25,500,3,1,0,0,0,0
8,200,0,0,0,0,0,0
14,200,5,0,0,0,1,0
40,100,3,0,0,0,1,0
7,300,3,0,0,1,0,0
35,100,6,0,0,0,1,0
8,350,0,0,0,0,0,0
10,800,6,0,1,0,0,0
8,100,1,1,0,0,0,0
19,100,5,0,0,0,0,0
38,400,3,0,1,0,0,0
14,400,3,0,0,0,1,0
15,100,6,0,0,0,0,0
7,400,0,0,1,0,0,0
15,300,5,0,0,0,0,0
37,100,6,0,0,0,0,1
23,300,0,0,0,0,1,0
17,300,3,0,0,1,0,0
32,350,1,0,0,1,0,0
11,200,1,0,0,0,0,1
12,400,0,0,0,1,0,0
9,100,6,0,0,0,0,0
20,450,5,0,0,1,0,0
10,500,1,0,0,0,0,1
16,200,0,0,0,0,1,0
4,250,3,1,0,0,0,0
22,400,0,0,0,0,1,0
22,500,3,1,0,0,0,0
3,250,3,1,0,0,0,0
